physician_providercode,physiciancode,providercode,physicianname,specialization,total_unique_patient_cnt,total_claim_count,all_claims_sum_of_util,ave_12_month_util_per_patient,opl_unique_px_cnt_at_least_one,opl_unique_px_count_at_least_one_pct,opl_ave_claims_per_px_at_least_one,opl_total_claims,opl_ave_cost_per_claim_per_px_at_least_one,opl_sum_of_util,opl_ave_twelve_month_util_per_px,inp_unique_px_count_at_least_one,inp_unique_px_count_at_least_one_pct,inp_ave_claims_per_px_at_least_one,inp_total_claims,inp_ave_cost_per_claim_per_px_at_least_one,inp_sum_of_util,inp_ave_twelve_month_util_per_px,others_unique_px_count_at_least_one,others_unique_px_count_at_least_one_pct,others_ave_claims_per_px_at_least_one,others_total_claims,others_ave_cost_per_claim_per_px_at_least_one,others_sum_of_util,others_ave_twelve_month_util_per_px,total_philhealth,ave_philhealth_claim
1573 - OUR LADY OF LOURDES HOSPITAL-MANILA,1573,OUR LADY OF LOURDES HOSPITAL-MANILA,TERESITA B. SADAVA,Cardiology,39,210,824988.25,21153.54,24,0.62,3.08,74,5274.7,390327.6,10008.4,2,0.05,1.5,3,96719.8,290159.4,7439.98,38,0.97,3.5,133,1086.48,144501.25,3705.16,101790,2610
"2880 - MEDICAL CENTER MANILA, INC.",2880,"MEDICAL CENTER MANILA, INC.",MA. ESTHER D. ESTRELLADO,Cardiology,30,146,631003.9,21033.46,14,0.47,2.93,41,6225.04,255226.7,8507.56,2,0.07,1.5,3,102259,306777,10225.9,29,0.97,3.52,102,676.47,69000.2,2300.01,84090,2803
90028132 - SAN MATEO MEDICAL CENTER,90028132,SAN MATEO MEDICAL CENTER,EMERSON FRANCO MARIANO,Cardiology,28,313,585271.51,20902.55,25,0.89,6.8,170,2719.64,462338.9,16512.1,1,0.04,1,1,17796.37,17796.37,635.58,25,0.89,5.68,142,740.4,105136.24,3754.87,3990,142.5
6782 - OUR LADY OF LOURDES HOSPITAL-MANILA,6782,OUR LADY OF LOURDES HOSPITAL-MANILA,ROSS FAJARDO SESE,Internal Medicine,182,1153,3782070.18,20780.61,160,0.88,3.49,558,5149.7,2873533.45,15788.65,4,0.02,1,4,111650.68,446602.7,2453.86,162,0.89,3.65,591,781.61,461934.03,2538.1,166040,912.31
90012258 - MANILA DOCTORS HOSPITAL,90012258,MANILA DOCTORS HOSPITAL,ARTHUR DESSI ESTRADA ROMAN,Infectious Disease,27,178,559536.13,20723.56,21,0.78,5.76,121,3147.9,380896.21,14107.27,1,0.04,1,1,69628.04,69628.04,2578.82,24,0.89,2.33,56,1946.64,109011.88,4037.48,18780,695.56
21361 - MARIKINA VALLEY MEDICAL CENTER INC.,21361,MARIKINA VALLEY MEDICAL CENTER INC.,MARCO AURELIO PERALTA CASTILLO,Cardiology,31,151,642306.45,20719.56,20,0.65,3.4,68,6511.16,442758.94,14282.55,1,0.03,1,1,103304.79,103304.79,3332.41,30,0.97,2.73,82,1173.69,96242.72,3104.6,24600,793.55
90024083 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90024083,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,NOEL OMEGA MANINANG JR.,Cardiology,75,420,1553148.24,20708.64,53,0.71,3.09,164,5041.31,826774.48,11023.66,7,0.09,1,7,59351.91,415463.37,5539.51,74,0.99,3.36,249,1248.64,310910.39,4145.47,88940,1185.87
"90016944 - MANILA EAST MEDICAL CENTER, INC.",90016944,"MANILA EAST MEDICAL CENTER, INC.",JOHNNY PABER BADILLA III,Internal Medicine,64,494,1324981.03,20702.83,50,0.78,4.6,230,3996.17,919119.28,14361.24,5,0.08,1,5,37545.07,187725.34,2933.21,63,0.98,4.11,259,842.23,218136.41,3408.38,35390,552.97
90017382 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90017382,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,JONAH LOMIBAO AMORA,Cardiology,22,116,451991.49,20545.07,15,0.68,3.33,50,6076.02,303800.91,13809.13,2,0.09,1,2,46901.01,93802.01,4263.73,17,0.77,3.76,64,849.82,54388.57,2472.21,17290,785.91
90020017 - DIVINE GRACE MEDICAL CENTER,90020017,DIVINE GRACE MEDICAL CENTER,ROCHELLE LINGAD SAYAS,Endocrinology,14,63,287575.97,20541.14,13,0.93,2.31,30,4976.32,149289.55,10663.54,1,0.07,1,1,105222.42,105222.42,7515.89,13,0.93,2.46,32,1033.25,33064,2361.71,36270,2590.71
90022183 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90022183,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,TRINA MARIE MONTEMAR MAJAM,Internal Medicine,47,296,963993.37,20510.5,31,0.66,3.03,94,3545.8,333305.06,7091.6,8,0.17,1,8,56932.74,455461.95,9690.68,47,1,4.13,194,903.23,175226.36,3728.22,109715,2334.36
90025452 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90025452,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,MELISSA CLAIRE KIAT UY,Cardiology,14,78,286779,20484.21,7,0.5,5,35,5260.43,184114.98,13151.07,1,0.07,1,1,79814.02,79814.02,5701,14,1,3,42,544.05,22850,1632.14,25020,1787.14
90007929 - THE MEDICAL CITY,90007929,THE MEDICAL CITY,AZENETTE LACUNA MENDOZA,Cardiology,52,250,1061646.19,20416.27,28,0.54,3.96,111,6296.91,698957.42,13441.49,3,0.06,1,3,81285.63,243856.89,4689.56,49,0.94,2.78,136,873.76,118831.88,2285.23,67259,1293.44
90001444 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90001444,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,RICARDO ORO JAVISON,Cardiology,24,154,487040.44,20293.35,19,0.79,3.26,62,6537.2,405306.18,16887.76,0,0,0,0,0,0,0,24,1,3.83,92,888.42,81734.26,3405.59,7150,297.92
1376 - THE MEDICAL CITY,1376,THE MEDICAL CITY,MA. THERESA CHUA AGCAOILI,Cardiology,9,56,182482.64,20275.85,8,0.89,4.38,35,4861.1,170138.64,18904.29,0,0,0,0,0,0,0,8,0.89,2.63,21,587.81,12344,1371.56,10400,1155.56
90025736 - THE MEDICAL CITY,90025736,THE MEDICAL CITY,MAY JASMIN SANTOS ESTANISLAO,Cardiology,31,194,627177.99,20231.55,18,0.58,5.89,106,5308.9,562743.34,18153.01,0,0,0,0,0,0,0,28,0.9,3.14,88,732.21,64434.65,2078.54,7020,226.45
90018036 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90018036,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,FLORANTE TIPA PALER JR.,Cardiology,58,280,1173352.28,20230.21,36,0.62,3.14,113,5388.16,608862.61,10497.63,7,0.12,1,7,66934.9,468544.31,8078.35,56,0.97,2.86,160,599.66,95945.36,1654.23,133050,2293.97
90004553 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90004553,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,ALVIN ODQUIN DELA CRUZ,Interventional Cardiology,509,2800,10282537.8,20201.45,298,0.59,3.43,1021,5247.19,5357384.03,10525.31,32,0.06,1.09,35,96128.93,3364512.64,6610.04,495,0.97,3.52,1744,894.86,1560641.13,3066.09,855547.72,1680.84
90018682 - OUR LADY OF LOURDES HOSPITAL-MANILA,90018682,OUR LADY OF LOURDES HOSPITAL-MANILA,ROGELIO CALVARA SUYOM JR.,Cardiology,69,405,1388186.68,20118.65,50,0.73,2.9,145,4942.42,716650.33,10386.24,5,0.07,1,5,82360.71,411803.56,5968.17,68,0.99,3.75,255,1018.56,259732.79,3764.24,70486,1021.54
1785 - MARIKINA VALLEY MEDICAL CENTER INC.,1785,MARIKINA VALLEY MEDICAL CENTER INC.,MA. LUISA BANDA AFABLE,Cardiology,125,735,2506467.81,20051.74,89,0.71,3.45,307,5895.34,1809868.23,14478.95,6,0.05,1.17,7,54482.69,381378.85,3051.03,123,0.98,3.42,421,748.74,315220.73,2521.77,128790,1030.32
90029723 - ASIAN HOSPITAL AND MEDICAL CENTER,90029723,ASIAN HOSPITAL AND MEDICAL CENTER,KARL HOMER VARGAS NIEVERA,Internal Medicine,9,33,180176.1,20019.57,8,0.89,1.75,14,11828.58,165600.1,18400.01,0,0,0,0,0,0,0,8,0.89,2.38,19,767.16,14576,1619.56,12480,1386.67
90008626 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90008626,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,MARITONI ILAO-RAPADAS,Cardiology,17,71,339675.13,19980.89,14,0.82,1.93,27,6899.51,186286.64,10958.04,2,0.12,1,2,49999,99997.99,5882.23,14,0.82,3,42,1271.2,53390.5,3140.62,19630,1154.71
30259 - MARIKINA VALLEY MEDICAL CENTER INC.,30259,MARIKINA VALLEY MEDICAL CENTER INC.,JOEY NOEL SANTOS CHANYUNGCO,Internal Medicine,50,227,995594.54,19911.89,33,0.66,2,66,8991.77,593457.08,11869.14,2,0.04,1,2,85337.53,170675.05,3413.5,48,0.96,3.31,159,1455.74,231462.41,4629.25,29350,587
90025196 - ASIAN HOSPITAL AND MEDICAL CENTER,90025196,ASIAN HOSPITAL AND MEDICAL CENTER,PAOLO MIGUEL AGAMATA BORJA,Internal Medicine,7,18,139029.25,19861.32,6,0.86,1.67,10,13442.93,134429.25,19204.18,0,0,0,0,0,0,0,5,0.71,1.6,8,575,4600,657.14,0,0
34934 - OUR LADY OF LOURDES HOSPITAL-MANILA,34934,OUR LADY OF LOURDES HOSPITAL-MANILA,SHEILA SANTAMARIA IBANA,Cardiology,27,132,536253.64,19861.25,19,0.7,2.47,47,6986.34,328357.85,12161.4,2,0.07,1,2,49097.54,98195.07,3636.85,26,0.96,3.19,83,1321.7,109700.72,4062.99,15218,563.63
90024083 - SAN MATEO MEDICAL CENTER,90024083,SAN MATEO MEDICAL CENTER,NOEL OMEGA MANINANG JR.,Cardiology,294,1435,5835589.95,19848.95,213,0.72,2.82,601,5712.49,3433206.43,11677.57,24,0.08,1.04,25,56218.94,1405473.42,4780.52,289,0.98,2.8,809,1232.27,996910.1,3390.85,321329,1092.96
90003651 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90003651,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,ARWIN GRANADA DAVID,Cardiology,39,256,766922.18,19664.67,28,0.72,3.21,90,5074.14,456672.16,11709.54,2,0.05,1.5,3,46844.75,140534.24,3603.44,36,0.92,4.53,163,1041.2,169715.78,4351.69,29820,764.62
90009736 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90009736,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,SERGIO M. TANHUECO JR.,Family Medicine,100,586,1964001.65,19640.02,89,0.89,2.83,252,5304.45,1336720.76,13367.21,4,0.04,1.5,6,63631.78,381790.69,3817.91,95,0.95,3.45,328,748.45,245490.2,2454.9,81087,810.87
90001829 - CARDINAL SANTOS MEDICAL CENTER,90001829,CARDINAL SANTOS MEDICAL CENTER,DENNIS JOSE VILLAREAL SULIT,Cardiology,39,221,765102.48,19618.01,30,0.77,3.93,118,5870.76,692749.23,17762.8,0,0,0,0,0,0,0,36,0.92,2.86,103,702.46,72353.25,1855.21,29420,754.36
5498 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,5498,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JERRY Q. CHUA,Pulmonology,8,41,155991.14,19498.89,5,0.63,2.8,14,7313.56,102389.84,12798.73,0,0,0,0,0,0,0,8,1,3.38,27,1985.23,53601.3,6700.16,0,0
90011321 - THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,90011321,THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,JOEL DEL ROSARIO SABANGAN,Cardiology,89,564,1731196.72,19451.65,73,0.82,3.07,224,4853.87,1087267.54,12216.49,5,0.06,1,5,66881.04,334405.18,3757.36,88,0.99,3.81,335,923.95,309524,3477.8,93580,1051.46
90004925 - DILIMAN DOCTORS HOSPITAL INC.,90004925,DILIMAN DOCTORS HOSPITAL INC.,ROLAND LIMJOCO DELOS REYES,Cardiology,21,84,407670.97,19412.9,16,0.76,2.13,34,6823.9,232012.76,11048.23,2,0.1,1,2,65294.88,130589.75,6218.56,19,0.9,2.53,48,938.93,45068.46,2146.12,48140,2292.38
90002218 - OUR LADY OF LOURDES HOSPITAL-MANILA,90002218,OUR LADY OF LOURDES HOSPITAL-MANILA,JILL P. BUENSUCESO,Cardiology,39,188,756803.34,19405.21,30,0.77,2.57,77,5314.54,409219.8,10492.82,4,0.1,1,4,60354.07,241416.26,6190.16,38,0.97,2.82,107,992.22,106167.28,2722.24,70330,1803.33
90012627 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90012627,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,JENELLE Y. OCZON,Internal Medicine,27,152,523787.97,19399.55,22,0.82,3.18,70,6364.57,445519.92,16500.74,0,0,0,0,0,0,0,27,1,3.04,82,954.49,78268.05,2898.82,45240,1675.56
90019530 - THE MEDICAL CITY,90019530,THE MEDICAL CITY,MARIA PATRICIA FELICIDAD PUNO RAMOS,Endocrinology,12,66,231739.65,19311.64,7,0.58,4.86,34,3080.68,104743.28,8728.61,1,0.08,1,1,85134.2,85134.2,7094.52,12,1,2.58,31,1350.39,41862.17,3488.51,7735,644.58
32161 - MARIKINA VALLEY MEDICAL CENTER INC.,32161,MARIKINA VALLEY MEDICAL CENTER INC.,JOEL G. JULIAN,Cardiology,12,33,231642.54,19303.55,12,1,1.75,21,9392.65,197245.55,16437.13,0,0,0,0,0,0,0,5,0.42,2.4,12,2866.42,34396.99,2866.42,0,0
"90010206 - MEDICAL CENTER MANILA, INC.",90010206,"MEDICAL CENTER MANILA, INC.",IAN HERBERT IGMEN ESTANISLAO,Cardiology,17,67,327799.8,19282.34,14,0.82,2.57,36,8455.49,304397.8,17905.75,0,0,0,0,0,0,0,15,0.88,2.07,31,754.9,23402,1376.59,16750,985.29
90025491 - DILIMAN DOCTORS HOSPITAL INC.,90025491,DILIMAN DOCTORS HOSPITAL INC.,ARVIN ROMERO YUMUL,Cardiology,15,96,288344.35,19222.96,9,0.6,5.44,49,4926.74,241410.35,16094.02,0,0,0,0,0,0,0,13,0.87,3.62,47,998.6,46934,3128.93,17125.7,1141.71
90030312 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90030312,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,MARIE ANTOINETTE ALFON LACSON,Internal Medicine,41,129,784955.44,19145.25,26,0.63,2.12,55,12387.14,681292.55,16616.89,1,0.02,1,1,55305.89,55305.89,1348.92,38,0.93,1.92,73,662.42,48357,1179.44,32305,787.93
6214 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,6214,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,DIANA JEAN C. ROXAS,Internal Medicine,11,51,210499.55,19136.32,6,0.55,3.33,20,9585.2,191703.92,17427.63,0,0,0,0,0,0,0,11,1,2.82,31,606.31,18795.63,1708.69,0,0
90010487 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90010487,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,RHIA JOY BRIONES DAYRIT,Internal Medicine,14,50,267143.32,19081.67,6,0.43,3.33,20,4175.5,83510,5965,1,0.07,1,1,150000,150000,10714.29,14,1,2.07,29,1159.77,33633.32,2402.38,18000,1285.71
90024317 - ASIAN HOSPITAL AND MEDICAL CENTER,90024317,ASIAN HOSPITAL AND MEDICAL CENTER,LENOR FUSIN HERRERA,Cardiology,8,29,152638.99,19079.87,4,0.5,2,8,5953.75,47629.99,5953.75,1,0.13,1,1,72151.45,72151.45,9018.93,8,1,2.5,20,1642.88,32857.55,4107.19,0,0
90026131 - OUR LADY OF LOURDES HOSPITAL-MANILA,90026131,OUR LADY OF LOURDES HOSPITAL-MANILA,RENELENE ALFEREZ MACABEO,Cardiology,19,95,362342.39,19070.65,10,0.53,2.2,22,4283.33,94233.2,4959.64,2,0.11,2,4,44780.95,179123.81,9427.57,18,0.95,3.83,69,1289.64,88985.38,4683.44,26180,1377.89
1469 - ASIAN HOSPITAL AND MEDICAL CENTER,1469,ASIAN HOSPITAL AND MEDICAL CENTER,ANGELITA MIGUEL AGUIRRE,Cardiology,12,44,228698.38,19058.2,10,0.83,2.2,22,6497.17,142937.75,11911.48,1,0.08,1,1,74450.63,74450.63,6204.22,9,0.75,2.33,21,538.57,11310,942.5,9620,801.67
1140 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,1140,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,LOUIE TO TAN,Cardiology,62,246,1175996.69,18967.69,16,0.26,4.5,72,6296.03,453314.18,7311.52,4,0.06,1,4,114513.54,458054.14,7387.97,60,0.97,2.83,170,1556.64,264628.37,4268.2,104985.53,1693.32
90028142 - DIVINE GRACE MEDICAL CENTER,90028142,DIVINE GRACE MEDICAL CENTER,MAVIS ATHINA ABUEL GARIBAY,Internal Medicine,15,76,280781.16,18718.74,12,0.8,2.17,26,7294.62,189660.16,12644.01,1,0.07,1,1,45204,45204,3013.6,15,1,3.27,49,937.08,45917,3061.13,23660,1577.33
90019147 - ST. LUKE'S MEDICAL CENTER-QC,90019147,ST. LUKE'S MEDICAL CENTER-QC,OLIVER ALLAN CASTILLO DAMPIL,Cardiology,9,46,168260.25,18695.58,7,0.78,2.29,16,7720.2,123523.25,13724.81,0,0,0,0,0,0,0,7,0.78,4.29,30,1491.23,44737,4970.78,7020,780
30263 - DILIMAN DOCTORS HOSPITAL INC.,30263,DILIMAN DOCTORS HOSPITAL INC.,ENRICO LEGASPI STA. ANA,Internal Medicine,80,272,1495275.07,18690.94,80,1,2.49,199,6567.11,1306854.67,16335.68,2,0.03,1,2,61638.38,123276.76,1540.96,28,0.35,2.54,71,917.52,65143.64,814.3,56000,700
31884 - MARIKINA VALLEY MEDICAL CENTER INC.,31884,MARIKINA VALLEY MEDICAL CENTER INC.,MARIA CORAZON M. PURA,Internal Medicine,13,47,241697.94,18592.15,6,0.46,2.33,14,6897.46,96564.4,7428.03,1,0.08,2,2,63991.77,127983.54,9844.89,13,1,2.38,31,553.23,17150,1319.23,13200,1015.38
90013878 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90013878,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,MARITESS GARCIA CABLAYAN,OB-GYNE,9,57,167064,18562.67,9,1,3.33,30,5043.8,151314,16812.67,0,0,0,0,0,0,0,7,0.78,3.86,27,583.33,15750,1750,0,0
90020896 - DILIMAN DOCTORS HOSPITAL INC.,90020896,DILIMAN DOCTORS HOSPITAL INC.,FLORDELIZA LIM RAMIREZ,Cardiology,56,315,1037121.21,18520.02,46,0.82,3.43,158,5714.19,902842.5,16122.19,1,0.02,1,1,21320.41,21320.41,380.72,53,0.95,2.94,156,724.09,112958.3,2017.11,51990,928.39
90003881 - THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,90003881,THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,CARLA FRANCES MARCELINO LAZARO,Family Medicine,82,413,1515596.87,18482.89,71,0.87,2.41,171,6001.76,1026301.27,12515.87,3,0.04,1.33,4,74677.05,298708.19,3642.78,77,0.94,3.09,238,800.79,190587.41,2324.24,78921.6,962.46
90003873 - THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,90003873,THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,MELISA DUCABO-ORTEZA,Endocrinology,83,401,1525988.08,18385.4,64,0.77,2.8,179,5483.42,981531.56,11825.68,3,0.04,1,3,116765.22,350295.67,4220.43,77,0.93,2.84,219,886.58,194160.85,2339.29,54130,652.17
90005234 - OUR LADY OF LOURDES HOSPITAL-MANILA,90005234,OUR LADY OF LOURDES HOSPITAL-MANILA,DANIVIC JESUS NAVARRO RAMIREZ,Cardiology,9,68,164854.81,18317.2,8,0.89,5.5,44,3333.65,146680.51,16297.83,0,0,0,0,0,0,0,9,1,2.67,24,757.26,18174.3,2019.37,0,0
90003976 - SAN MATEO MEDICAL CENTER,90003976,SAN MATEO MEDICAL CENTER,JOEY GUTIERREZ YAP,Gastroenterology,20,109,363802.49,18190.12,16,0.8,3.13,50,4471.99,223599.61,11179.98,2,0.1,1,2,36837.32,73674.63,3683.73,18,0.9,3.17,57,1167.16,66528.25,3326.41,27590,1379.5
90022567 - CARDINAL SANTOS MEDICAL CENTER,90022567,CARDINAL SANTOS MEDICAL CENTER,PATRICK YIU SIY,Internal Medicine,12,48,218042.9,18170.24,7,0.58,3.14,22,4922.4,108292.9,9024.41,1,0.08,1,1,94000,94000,7833.33,11,0.92,2.27,25,630,15750,1312.5,42640,3553.33
90003874 - THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,90003874,THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,JACQUELINE FRESNOZA,Internal Medicine,104,553,1888691.48,18160.5,93,0.89,2.7,251,4955.21,1243758.71,11959.22,4,0.04,1.25,5,80391.69,401958.46,3864.99,94,0.9,3.16,297,818.1,242974.31,2336.29,68445,658.13
90012253 - MANILA DOCTORS HOSPITAL,90012253,MANILA DOCTORS HOSPITAL,CRISTINE CATINDIG SANTELICES,Cardiology,18,99,326464.31,18136.91,10,0.56,4.9,49,4377.82,214513.42,11917.41,1,0.06,1,1,34262.83,34262.83,1903.49,18,1,2.72,49,1585.47,77688.06,4316,0,0
9723 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,9723,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,NIMFA M. MEDINA,Internal Medicine,146,900,2647489.12,18133.49,125,0.86,3.14,393,5022.66,1973904.25,13519.89,4,0.03,1.5,6,51698.23,310189.35,2124.58,139,0.95,3.6,501,725.34,363395.52,2489.01,67997.01,465.73
90014692 - DIVINE GRACE MEDICAL CENTER,90014692,DIVINE GRACE MEDICAL CENTER,VALERIE DE GUZMAN VILLANUEVA,Internal Medicine,33,134,597261.4,18098.83,31,0.94,2.55,79,6947.58,548859,16632.09,1,0.03,1,1,16000,16000,484.85,28,0.85,1.93,54,600.04,32402.4,981.89,29120,882.42
90025591 - DIVINE GRACE MEDICAL CENTER,90025591,DIVINE GRACE MEDICAL CENTER,DESIREE MAE PINONES YAMAT-OLAZO,Internal Medicine,11,55,198163.23,18014.84,9,0.82,2.22,20,4251.4,85028.03,7729.82,1,0.09,1,1,89489.44,89489.44,8135.4,11,1,3.09,34,695.46,23645.76,2149.61,6300,572.73
90003873 - THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,90003873,THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,MELISA DUCABO-ORTEZA,Family Medicine,189,1116,3396955.63,17973.31,165,0.87,3.21,529,4886.99,2585216.63,13678.39,3,0.02,1,3,146149.42,438448.26,2319.83,181,0.96,3.23,584,639.2,373290.74,1975.08,58220,308.04
"125 - MEDICAL CENTER MANILA, INC.",125,"MEDICAL CENTER MANILA, INC.",ENRIQUE GERVASIO,Cardiology,52,203,934374.23,17968.74,52,1,2.4,125,5237.17,654646.11,12589.35,2,0.04,1,2,76271,152542,2933.5,28,0.54,2.71,76,1673.5,127186.12,2445.89,61165,1176.25
28777 - ASIAN HOSPITAL AND MEDICAL CENTER,28777,ASIAN HOSPITAL AND MEDICAL CENTER,GENATO GENE CUEVAS GOMEZ,Internal Medicine,15,53,269164.53,17944.3,11,0.73,2.27,25,9661.07,241526.73,16101.78,0,0,0,0,0,0,0,13,0.87,2.15,28,987.06,27637.8,1842.52,0,0
17681 - THE MEDICAL CITY,17681,THE MEDICAL CITY,CHRISTY S. YAO,Cardiology,9,59,159554.51,17728.28,9,1,3.56,32,4051.59,129650.74,14405.64,0,0,0,0,0,0,0,9,1,3,27,1107.55,29903.77,3322.64,0,0
90003851 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90003851,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,KATHLEEN FERI SABINIANO,Cardiology,89,647,1577534.39,17725.11,74,0.83,3.64,269,4956.44,1333283.01,14980.71,0,0,0,0,0,0,0,86,0.97,4.4,378,646.17,244251.38,2744.4,0,0
90022188 - THE MEDICAL CITY,90022188,THE MEDICAL CITY,RONALDO QUILALA DE VERA,Rheumatology,7,12,124015,17716.43,5,0.71,1.6,8,15226.88,121815,17402.14,0,0,0,0,0,0,0,3,0.43,1.33,4,550,2200,314.29,0,0
90015965 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90015965,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,ALBERTO ESCANO BUNYI,Cardiology,96,421,1693992.71,17645.76,83,0.87,2.28,189,5645.84,1067063.21,11115.24,4,0.04,1.25,5,87334.86,436674.3,4548.69,92,0.96,2.47,227,838.13,190255.2,1981.83,84045,875.47
"18091 - MANILA EAST MEDICAL CENTER, INC.",18091,"MANILA EAST MEDICAL CENTER, INC.",CHOLITA MUECA FABROS,Internal Medicine,48,296,845221.19,17608.77,37,0.77,3.46,128,3729.53,477379.64,9945.41,3,0.06,1.67,5,38880.5,194402.48,4050.05,47,0.98,3.47,163,1064.04,173439.07,3613.31,51021,1062.94
90002409 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90002409,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,ARSENIO DAVID RODOLFO JR.,Cardiology,22,94,387356.71,17607.12,16,0.73,2.88,46,4692.68,215863.13,9811.96,1,0.05,1,1,134430.6,134430.6,6110.48,20,0.91,2.35,47,788.57,37062.98,1684.68,24180,1099.09
90003847 - THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,90003847,THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,ANN MARGARETT POLICARPIO FLORES,Endocrinology,30,170,525873.14,17529.1,26,0.87,2.85,74,5854.79,433254.32,14441.81,1,0.03,1,1,31901.73,31901.73,1063.39,29,0.97,3.28,95,639.13,60717.09,2023.9,6600,220
10244 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,10244,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,JOYCE DICO GO,Cardiology,34,224,595630.09,17518.53,25,0.74,4.36,109,4799.77,523174.79,15387.49,0,0,0,0,0,0,0,33,0.97,3.48,115,630.05,72455.3,2131.04,27650,813.24
2852 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,2852,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,REYNALDO SEBASTIAN,Internal Medicine,18,90,315077.99,17504.33,10,0.56,2.7,27,5186.85,140044.94,7780.27,1,0.06,1,1,140133.91,140133.91,7785.22,18,1,3.44,62,562.89,34899.14,1938.84,17900,994.44
90011558 - ST. LUKE'S MEDICAL CENTER-QC,90011558,ST. LUKE'S MEDICAL CENTER-QC,JOANNE COSARE SAN PEDRO,Internal Medicine,10,33,174958.07,17495.81,5,0.5,2.4,12,9685.2,116222.35,11622.24,0,0,0,0,0,0,0,9,0.9,2.33,21,2796.94,58735.72,5873.57,0,0
90002876 - DILIMAN DOCTORS HOSPITAL INC.,90002876,DILIMAN DOCTORS HOSPITAL INC.,NERISSA DE GUZMAN BINOYA,Internal Medicine,10,65,174497.42,17449.74,8,0.8,2.88,23,4900.79,112718.28,11271.83,1,0.1,1,1,21946.14,21946.14,2194.61,9,0.9,4.56,41,971.54,39833,3983.3,5460,546
