physician_providercode,physiciancode,providercode,physicianname,specialization,total_unique_patient_cnt,total_claim_count,all_claims_sum_of_util,ave_12_month_util_per_patient,opl_unique_px_cnt_at_least_one,opl_unique_px_count_at_least_one_pct,opl_ave_claims_per_px_at_least_one,opl_total_claims,opl_ave_cost_per_claim_per_px_at_least_one,opl_sum_of_util,opl_ave_twelve_month_util_per_px,inp_unique_px_count_at_least_one,inp_unique_px_count_at_least_one_pct,inp_ave_claims_per_px_at_least_one,inp_total_claims,inp_ave_cost_per_claim_per_px_at_least_one,inp_sum_of_util,inp_ave_twelve_month_util_per_px,others_unique_px_count_at_least_one,others_unique_px_count_at_least_one_pct,others_ave_claims_per_px_at_least_one,others_total_claims,others_ave_cost_per_claim_per_px_at_least_one,others_sum_of_util,others_ave_twelve_month_util_per_px,total_philhealth,ave_philhealth_claim
"90020861 - MEDICAL CENTER MANILA, INC.",90020861,"MEDICAL CENTER MANILA, INC.",ARIEL DASAS VALONES,Cardiology,12,39,276607.35,23050.61,8.00,0.67,2.00,16.00,6491.33,103861.20,8655.10,1.00,0.08,1.00,1.00,145000.00,145000.00,12083.33,12.00,1.00,1.83,22.00,1261.19,27746.15,2312.18,30000.00,2500.00
12555 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,12555,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,VINCENT R. SINAY,Cardiology,9,66,206768.68,22974.30,5.00,0.56,5.60,28.00,3347.00,93716.10,10412.90,2.00,0.22,1.00,2.00,44211.32,88422.64,9824.74,7.00,0.78,5.14,36.00,684.17,24629.94,2736.66,27300.00,3033.33
90014821 - CARDINAL SANTOS MEDICAL CENTER,90014821,CARDINAL SANTOS MEDICAL CENTER,MICHAEL ANTHONY AYRAN DELA CRUZ,Cardiology,56,280,1281272.64,22879.87,42.00,0.75,3.64,153.00,5659.57,865913.97,15462.75,2.00,0.04,1.00,2.00,138425.00,276850.00,4943.75,48.00,0.86,2.60,125.00,1108.07,138508.67,2473.37,63750.00,1138.39
90022848 - DILIMAN DOCTORS HOSPITAL INC.,90022848,DILIMAN DOCTORS HOSPITAL INC.,CHARLENE ANN VICENCIO BALILI,Internal Medicine,14,92,319494.03,22821.00,9.00,0.64,4.56,41.00,6669.01,273429.27,19530.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.93,3.92,51.00,903.23,46064.76,3290.34,5400.00,385.71
36042 - MAKATI MEDICAL CENTER,36042,MAKATI MEDICAL CENTER,ELIZABETH DIAZ SERRA-SANTOS,Cardiology,9,49,205116.30,22790.70,8.00,0.89,3.63,29.00,6659.60,193128.30,21458.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.89,2.50,20.00,599.40,11988.00,1332.00,0.00,0.00
27092 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,27092,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,AMELITA R. GUZON,Family Medicine,49,232,1108329.23,22618.96,41.00,0.84,2.68,110.00,5183.91,570230.29,11637.35,4.00,0.08,1.25,5.00,77850.03,389250.17,7943.88,45.00,0.92,2.60,117.00,1272.21,148848.77,3037.73,64627.87,1318.94
90015521 - DILIMAN DOCTORS HOSPITAL INC.,90015521,DILIMAN DOCTORS HOSPITAL INC.,CRISTINA CAMELLA PEREZ MONTES,Internal Medicine,45,313,1017244.17,22605.43,40.00,0.89,3.63,145.00,5083.16,737058.26,16379.07,1.00,0.02,1.00,1.00,124000.00,124000.00,2755.56,42.00,0.93,3.98,167.00,935.24,156185.91,3470.80,31020.00,689.33
30462 - MAKATI MEDICAL CENTER,30462,MAKATI MEDICAL CENTER,JOSE MARIA L. ANSON,Nephrology,10,56,225845.80,22584.58,5.00,0.50,4.00,20.00,9563.55,191271.00,19127.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.90,4.00,36.00,960.41,34574.80,3457.48,9600.00,960.00
3163 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,3163,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,ROMANITO CHUA CABALONA,Cardiology,278,1036,6263465.40,22530.45,278.00,1.00,2.42,672.00,6029.79,4052019.05,14575.61,12.00,0.04,1.33,16.00,95782.52,1532520.32,5512.66,116.00,0.42,3.00,348.00,1950.94,678926.03,2442.18,354625.83,1275.63
22771 - MARIKINA VALLEY MEDICAL CENTER INC.,22771,MARIKINA VALLEY MEDICAL CENTER INC.,RODRIGO CALALANG SANTOS,Cardiology,87,473,1956384.44,22487.18,61.00,0.70,3.30,201.00,6265.39,1259344.07,14475.22,4.00,0.05,1.00,4.00,109404.76,437619.02,5030.10,84.00,0.97,3.19,268.00,967.99,259421.35,2981.85,73320.00,842.76
90009667 - THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,90009667,THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,SHAULA MENDOZA CABREROS,Internal Medicine,15,84,336620.50,22441.37,12.00,0.80,2.67,32.00,5594.25,179016.10,11934.41,1.00,0.07,1.00,1.00,125545.84,125545.84,8369.72,15.00,1.00,3.40,51.00,628.60,32058.56,2137.24,26400.00,1760.00
90003847 - THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,90003847,THE MEDICAL CITY SATELLITE CLINICS-TRINOMA,ANN MARGARETT POLICARPIO FLORES,Endocrinology,21,99,469931.74,22377.70,16.00,0.76,2.56,41.00,7502.27,307593.20,14647.30,1.00,0.05,1.00,1.00,101000.00,101000.00,4809.52,21.00,1.00,2.71,57.00,1076.11,61338.54,2920.88,26110.00,1243.33
90030236 - DILIMAN DOCTORS HOSPITAL INC.,90030236,DILIMAN DOCTORS HOSPITAL INC.,HERVIN DAMLER AGASID TANG,Internal Medicine,44,214,981935.13,22316.71,40.00,0.91,2.80,112.00,6129.36,686488.74,15602.02,1.00,0.02,1.00,1.00,47000.00,47000.00,1068.18,34.00,0.77,2.97,101.00,2459.87,248446.39,5646.51,40390.00,917.95
90028464 - DILIMAN DOCTORS HOSPITAL INC.,90028464,DILIMAN DOCTORS HOSPITAL INC.,RAMON CHRISTOPHER TUMIBAY MENDOZA,Cardiology,27,105,599159.85,22191.11,14.00,0.52,3.14,44.00,5255.83,231256.70,8565.06,2.00,0.07,1.00,2.00,148734.28,297468.55,11017.35,27.00,1.00,2.19,59.00,1193.81,70434.60,2608.69,39600.00,1466.67
31870 - MARIKINA VALLEY MEDICAL CENTER INC.,31870,MARIKINA VALLEY MEDICAL CENTER INC.,JEROME OLIQUINO LACEDA,Cardiology,44,211,971116.80,22070.84,32.00,0.73,3.19,102.00,6551.60,668263.68,15187.81,4.00,0.09,1.00,4.00,44413.18,177652.71,4037.56,38.00,0.86,2.76,105.00,1192.38,125200.41,2845.46,22680.00,515.45
26423 - MAKATI MEDICAL CENTER,26423,MAKATI MEDICAL CENTER,CHARLES TADEO OCAMPO GALANG,Cardiology,37,167,813025.15,21973.65,21.00,0.57,3.14,66.00,7636.54,504011.60,13621.94,3.00,0.08,1.00,3.00,60548.67,181646.00,4909.35,36.00,0.97,2.72,98.00,1299.67,127367.55,3442.37,19862.50,536.82
6827 - OUR LADY OF LOURDES HOSPITAL-MANILA,6827,OUR LADY OF LOURDES HOSPITAL-MANILA,ALFREDO ROMEO SANTOS,Cardiology,17,88,372555.36,21915.02,15.00,0.88,2.40,36.00,2664.10,95907.68,5641.63,2.00,0.12,1.00,2.00,119737.65,239475.30,14086.78,17.00,1.00,2.94,50.00,743.45,37172.38,2186.61,27700.00,1629.41
90009502 - ASIAN HOSPITAL AND MEDICAL CENTER,90009502,ASIAN HOSPITAL AND MEDICAL CENTER,MARGRETTE RUTH LAMPA BERNARDO,Internal Medicine,7,26,153360.32,21908.62,3.00,0.43,2.33,7.00,14889.94,104229.60,14889.94,1.00,0.14,1.00,1.00,39680.72,39680.72,5668.67,6.00,0.86,3.00,18.00,525.00,9450.00,1350.00,20070.00,2867.14
19432 - ASIAN HOSPITAL AND MEDICAL CENTER,19432,ASIAN HOSPITAL AND MEDICAL CENTER,JOSE CELSO FESTEJO NOVENARIO,Gastroenterology,9,24,197160.00,21906.67,7.00,0.78,2.86,20.00,9598.00,191960.00,21328.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.33,1.33,4.00,1300.00,5200.00,577.78,5400.00,600.00
90016794 - MANILA DOCTORS HOSPITAL,90016794,MANILA DOCTORS HOSPITAL,ALLAN ASANA LIM,Cardiology,125,787,2732499.62,21860.00,80.00,0.64,4.75,380.00,5265.69,2000963.79,16007.71,3.00,0.02,1.33,4.00,76174.49,304697.98,2437.58,123.00,0.98,3.28,403.00,1059.15,426837.85,3414.70,220000.00,1760.00
39881 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,39881,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,MILAGROS REBOSURA EINANLOO,Internal Medicine,8,62,174267.41,21783.43,7.00,0.88,3.29,23.00,3922.36,90214.20,11276.78,1.00,0.13,1.00,1.00,48281.86,48281.86,6035.23,8.00,1.00,4.75,38.00,941.35,35771.35,4471.42,7150.00,893.75
90022883 - THE MEDICAL CITY,90022883,THE MEDICAL CITY,KATRINA MAE SALCEDO GAMPONIA,Internal Medicine,26,162,565717.50,21758.37,17.00,0.65,3.94,67.00,6058.40,405912.62,15612.02,2.00,0.08,1.00,2.00,34570.09,69140.17,2659.24,25.00,0.96,3.72,93.00,974.89,90664.71,3487.10,17400.00,669.23
90025734 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90025734,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,GRACE SHEILA PONCE SORIA,Internal Medicine,23,100,499670.67,21724.81,15.00,0.65,1.93,29.00,8686.99,251922.62,10953.16,2.00,0.09,1.00,2.00,74784.98,149569.96,6503.04,21.00,0.91,3.29,69.00,1422.87,98178.09,4268.61,25680.00,1116.52
39682 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,39682,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,DONALD CODILLA CRISTOBAL,Cardiology,14,53,301483.60,21534.54,13.00,0.93,2.38,31.00,8936.37,277027.60,19787.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.64,2.44,22.00,1111.64,24456.00,1746.86,0.00,0.00
90005933 - MAKATI MEDICAL CENTER,90005933,MAKATI MEDICAL CENTER,ROJOHN RAZ MALIWAT,Cardiology,54,251,1157500.27,21435.19,33.00,0.61,3.33,110.00,7791.78,857096.31,15872.15,2.00,0.04,1.00,2.00,99524.80,199049.60,3686.10,54.00,1.00,2.57,139.00,729.17,101354.36,1876.93,57380.00,1062.59
90002876 - MARIKINA VALLEY MEDICAL CENTER INC.,90002876,MARIKINA VALLEY MEDICAL CENTER INC.,NERISSA DE GUZMAN BINOYA,Internal Medicine,77,365,1638429.64,21278.31,52.00,0.68,2.79,145.00,6972.10,1010955.20,13129.29,5.00,0.06,1.20,6.00,62209.15,373254.90,4847.47,77.00,1.00,2.78,214.00,1187.94,254219.54,3301.55,34767.00,451.52
2090 - DIVINE GRACE MEDICAL CENTER,2090,DIVINE GRACE MEDICAL CENTER,AMELIA DY FRANCISCO,OB-GYNE,165,590,3498548.49,21203.32,157.00,0.95,2.20,345.00,5689.51,1962881.00,11896.25,8.00,0.05,1.13,9.00,142212.86,1279915.70,7757.06,89.00,0.54,2.65,236.00,1083.69,255751.79,1550.01,252695.00,1531.48
90025256 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90025256,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,FE-AILEEN FELICIANO ARELLANO-SIMON,Cardiology,19,72,402673.15,21193.32,9.00,0.47,3.11,28.00,7371.98,206415.30,10863.96,1.00,0.05,2.00,2.00,86773.93,173547.85,9134.10,18.00,0.95,2.33,42.00,540.71,22710.00,1195.26,24100.00,1268.42
"542 - MANILA EAST MEDICAL CENTER, INC.",542,"MANILA EAST MEDICAL CENTER, INC.",BENJAMIN EDSEL V. MALAYA,Gastroenterology,14,90,296612.62,21186.62,10.00,0.71,4.30,43.00,4674.01,200982.57,14355.90,1.00,0.07,1.00,1.00,32000.00,32000.00,2285.71,12.00,0.86,3.83,46.00,1383.26,63630.05,4545.00,30820.00,2201.43
90029688 - SAN MATEO MEDICAL CENTER,90029688,SAN MATEO MEDICAL CENTER,ALDWIN RAY LAPUZ PAMPLONA,Internal Medicine,40,235,847399.96,21185.00,34.00,0.85,3.18,108.00,3251.85,351200.07,8780.00,3.00,0.08,1.33,4.00,70855.09,283420.37,7085.51,39.00,0.98,3.15,123.00,1729.91,212779.52,5319.49,45040.00,1126.00
90010065 - DILIMAN DOCTORS HOSPITAL INC.,90010065,DILIMAN DOCTORS HOSPITAL INC.,HAYDEE BULURAN FLORES,Cardiology,35,167,740590.35,21159.72,28.00,0.80,2.96,83.00,5847.29,485325.40,13866.44,2.00,0.06,1.00,2.00,69955.15,139910.30,3997.44,35.00,1.00,2.34,82.00,1406.76,115354.65,3295.85,29055.00,830.14
1573 - OUR LADY OF LOURDES HOSPITAL-MANILA,1573,OUR LADY OF LOURDES HOSPITAL-MANILA,TERESITA B. SADAVA,Cardiology,39,210,824988.25,21153.54,24.00,0.62,3.08,74.00,5274.70,390327.60,10008.40,2.00,0.05,1.50,3.00,96719.80,290159.40,7439.98,38.00,0.97,3.50,133.00,1086.48,144501.25,3705.16,101790.00,2610.00
"2880 - MEDICAL CENTER MANILA, INC.",2880,"MEDICAL CENTER MANILA, INC.",MA. ESTHER D. ESTRELLADO,Cardiology,30,146,631003.90,21033.46,14.00,0.47,2.93,41.00,6225.04,255226.70,8507.56,2.00,0.07,1.50,3.00,102259.00,306777.00,10225.90,29.00,0.97,3.52,102.00,676.47,69000.20,2300.01,84090.00,2803.00
90028132 - SAN MATEO MEDICAL CENTER,90028132,SAN MATEO MEDICAL CENTER,EMERSON FRANCO MARIANO,Cardiology,28,313,585271.51,20902.55,25.00,0.89,6.80,170.00,2719.64,462338.90,16512.10,1.00,0.04,1.00,1.00,17796.37,17796.37,635.58,25.00,0.89,5.68,142.00,740.40,105136.24,3754.87,3990.00,142.50
6782 - OUR LADY OF LOURDES HOSPITAL-MANILA,6782,OUR LADY OF LOURDES HOSPITAL-MANILA,ROSS FAJARDO SESE,Internal Medicine,182,1153,3782070.18,20780.61,160.00,0.88,3.49,558.00,5149.70,2873533.45,15788.65,4.00,0.02,1.00,4.00,111650.68,446602.70,2453.86,162.00,0.89,3.65,591.00,781.61,461934.03,2538.10,166040.00,912.31
90012258 - MANILA DOCTORS HOSPITAL,90012258,MANILA DOCTORS HOSPITAL,ARTHUR DESSI ESTRADA ROMAN,Infectious Disease,27,178,559536.13,20723.56,21.00,0.78,5.76,121.00,3147.90,380896.21,14107.27,1.00,0.04,1.00,1.00,69628.04,69628.04,2578.82,24.00,0.89,2.33,56.00,1946.64,109011.88,4037.48,18780.00,695.56
21361 - MARIKINA VALLEY MEDICAL CENTER INC.,21361,MARIKINA VALLEY MEDICAL CENTER INC.,MARCO AURELIO PERALTA CASTILLO,Cardiology,31,151,642306.45,20719.56,20.00,0.65,3.40,68.00,6511.16,442758.94,14282.55,1.00,0.03,1.00,1.00,103304.79,103304.79,3332.41,30.00,0.97,2.73,82.00,1173.69,96242.72,3104.60,24600.00,793.55
90024083 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90024083,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,NOEL OMEGA MANINANG JR.,Cardiology,75,420,1553148.24,20708.64,53.00,0.71,3.09,164.00,5041.31,826774.48,11023.66,7.00,0.09,1.00,7.00,59351.91,415463.37,5539.51,74.00,0.99,3.36,249.00,1248.64,310910.39,4145.47,88940.00,1185.87
"90016944 - MANILA EAST MEDICAL CENTER, INC.",90016944,"MANILA EAST MEDICAL CENTER, INC.",JOHNNY PABER BADILLA III,Internal Medicine,64,494,1324981.03,20702.83,50.00,0.78,4.60,230.00,3996.17,919119.28,14361.24,5.00,0.08,1.00,5.00,37545.07,187725.34,2933.21,63.00,0.98,4.11,259.00,842.23,218136.41,3408.38,35390.00,552.97
90017382 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90017382,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,JONAH LOMIBAO AMORA,Cardiology,22,116,451991.49,20545.07,15.00,0.68,3.33,50.00,6076.02,303800.91,13809.13,2.00,0.09,1.00,2.00,46901.01,93802.01,4263.73,17.00,0.77,3.76,64.00,849.82,54388.57,2472.21,17290.00,785.91
90020017 - DIVINE GRACE MEDICAL CENTER,90020017,DIVINE GRACE MEDICAL CENTER,ROCHELLE LINGAD SAYAS,Endocrinology,14,63,287575.97,20541.14,13.00,0.93,2.31,30.00,4976.32,149289.55,10663.54,1.00,0.07,1.00,1.00,105222.42,105222.42,7515.89,13.00,0.93,2.46,32.00,1033.25,33064.00,2361.71,36270.00,2590.71
90022183 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90022183,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,TRINA MARIE MONTEMAR MAJAM,Internal Medicine,47,296,963993.37,20510.50,31.00,0.66,3.03,94.00,3545.80,333305.06,7091.60,8.00,0.17,1.00,8.00,56932.74,455461.95,9690.68,47.00,1.00,4.13,194.00,903.23,175226.36,3728.22,109715.00,2334.36
90025452 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90025452,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,MELISSA CLAIRE KIAT UY,Cardiology,14,78,286779.00,20484.21,7.00,0.50,5.00,35.00,5260.43,184114.98,13151.07,1.00,0.07,1.00,1.00,79814.02,79814.02,5701.00,14.00,1.00,3.00,42.00,544.05,22850.00,1632.14,25020.00,1787.14
90007929 - THE MEDICAL CITY,90007929,THE MEDICAL CITY,AZENETTE LACUNA MENDOZA,Cardiology,52,250,1061646.19,20416.27,28.00,0.54,3.96,111.00,6296.91,698957.42,13441.49,3.00,0.06,1.00,3.00,81285.63,243856.89,4689.56,49.00,0.94,2.78,136.00,873.76,118831.88,2285.23,67259.00,1293.44
90001444 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90001444,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,RICARDO ORO JAVISON,Cardiology,24,154,487040.44,20293.35,19.00,0.79,3.26,62.00,6537.20,405306.18,16887.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,1.00,3.83,92.00,888.42,81734.26,3405.59,7150.00,297.92
1376 - THE MEDICAL CITY,1376,THE MEDICAL CITY,MA. THERESA CHUA AGCAOILI,Cardiology,9,56,182482.64,20275.85,8.00,0.89,4.38,35.00,4861.10,170138.64,18904.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.89,2.63,21.00,587.81,12344.00,1371.56,10400.00,1155.56
90025736 - THE MEDICAL CITY,90025736,THE MEDICAL CITY,MAY JASMIN SANTOS ESTANISLAO,Cardiology,31,194,627177.99,20231.55,18.00,0.58,5.89,106.00,5308.90,562743.34,18153.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.90,3.14,88.00,732.21,64434.65,2078.54,7020.00,226.45
90018036 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90018036,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,FLORANTE TIPA PALER JR.,Cardiology,58,280,1173352.28,20230.21,36.00,0.62,3.14,113.00,5388.16,608862.61,10497.63,7.00,0.12,1.00,7.00,66934.90,468544.31,8078.35,56.00,0.97,2.86,160.00,599.66,95945.36,1654.23,133050.00,2293.97
90004553 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90004553,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,ALVIN ODQUIN DELA CRUZ,Interventional Cardiology,509,2800,10282537.80,20201.45,298.00,0.59,3.43,1021.00,5247.19,5357384.03,10525.31,32.00,0.06,1.09,35.00,96128.93,3364512.64,6610.04,495.00,0.97,3.52,1744.00,894.86,1560641.13,3066.09,855547.72,1680.84
90018682 - OUR LADY OF LOURDES HOSPITAL-MANILA,90018682,OUR LADY OF LOURDES HOSPITAL-MANILA,ROGELIO CALVARA SUYOM JR.,Cardiology,69,405,1388186.68,20118.65,50.00,0.73,2.90,145.00,4942.42,716650.33,10386.24,5.00,0.07,1.00,5.00,82360.71,411803.56,5968.17,68.00,0.99,3.75,255.00,1018.56,259732.79,3764.24,70486.00,1021.54
1785 - MARIKINA VALLEY MEDICAL CENTER INC.,1785,MARIKINA VALLEY MEDICAL CENTER INC.,MA. LUISA BANDA AFABLE,Cardiology,125,735,2506467.81,20051.74,89.00,0.71,3.45,307.00,5895.34,1809868.23,14478.95,6.00,0.05,1.17,7.00,54482.69,381378.85,3051.03,123.00,0.98,3.42,421.00,748.74,315220.73,2521.77,128790.00,1030.32
90029723 - ASIAN HOSPITAL AND MEDICAL CENTER,90029723,ASIAN HOSPITAL AND MEDICAL CENTER,KARL HOMER VARGAS NIEVERA,Internal Medicine,9,33,180176.10,20019.57,8.00,0.89,1.75,14.00,11828.58,165600.10,18400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.89,2.38,19.00,767.16,14576.00,1619.56,12480.00,1386.67
90008626 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90008626,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,MARITONI ILAO-RAPADAS,Cardiology,17,71,339675.13,19980.89,14.00,0.82,1.93,27.00,6899.51,186286.64,10958.04,2.00,0.12,1.00,2.00,49999.00,99997.99,5882.23,14.00,0.82,3.00,42.00,1271.20,53390.50,3140.62,19630.00,1154.71
30259 - MARIKINA VALLEY MEDICAL CENTER INC.,30259,MARIKINA VALLEY MEDICAL CENTER INC.,JOEY NOEL SANTOS CHANYUNGCO,Internal Medicine,50,227,995594.54,19911.89,33.00,0.66,2.00,66.00,8991.77,593457.08,11869.14,2.00,0.04,1.00,2.00,85337.53,170675.05,3413.50,48.00,0.96,3.31,159.00,1455.74,231462.41,4629.25,29350.00,587.00
90025196 - ASIAN HOSPITAL AND MEDICAL CENTER,90025196,ASIAN HOSPITAL AND MEDICAL CENTER,PAOLO MIGUEL AGAMATA BORJA,Internal Medicine,7,18,139029.25,19861.32,6.00,0.86,1.67,10.00,13442.93,134429.25,19204.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.71,1.60,8.00,575.00,4600.00,657.14,0.00,0.00
34934 - OUR LADY OF LOURDES HOSPITAL-MANILA,34934,OUR LADY OF LOURDES HOSPITAL-MANILA,SHEILA SANTAMARIA IBANA,Cardiology,27,132,536253.64,19861.25,19.00,0.70,2.47,47.00,6986.34,328357.85,12161.40,2.00,0.07,1.00,2.00,49097.54,98195.07,3636.85,26.00,0.96,3.19,83.00,1321.70,109700.72,4062.99,15218.00,563.63
90024083 - SAN MATEO MEDICAL CENTER,90024083,SAN MATEO MEDICAL CENTER,NOEL OMEGA MANINANG JR.,Cardiology,294,1435,5835589.95,19848.95,213.00,0.72,2.82,601.00,5712.49,3433206.43,11677.57,24.00,0.08,1.04,25.00,56218.94,1405473.42,4780.52,289.00,0.98,2.80,809.00,1232.27,996910.10,3390.85,321329.00,1092.96
90003651 - COMMONWEALTH HOSPITAL AND MEDICAL CENTER,90003651,COMMONWEALTH HOSPITAL AND MEDICAL CENTER,ARWIN GRANADA DAVID,Cardiology,39,256,766922.18,19664.67,28.00,0.72,3.21,90.00,5074.14,456672.16,11709.54,2.00,0.05,1.50,3.00,46844.75,140534.24,3603.44,36.00,0.92,4.53,163.00,1041.20,169715.78,4351.69,29820.00,764.62
90009736 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90009736,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,SERGIO M. TANHUECO JR.,Family Medicine,100,586,1964001.65,19640.02,89.00,0.89,2.83,252.00,5304.45,1336720.76,13367.21,4.00,0.04,1.50,6.00,63631.78,381790.69,3817.91,95.00,0.95,3.45,328.00,748.45,245490.20,2454.90,81087.00,810.87
90001829 - CARDINAL SANTOS MEDICAL CENTER,90001829,CARDINAL SANTOS MEDICAL CENTER,DENNIS JOSE VILLAREAL SULIT,Cardiology,39,221,765102.48,19618.01,30.00,0.77,3.93,118.00,5870.76,692749.23,17762.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.92,2.86,103.00,702.46,72353.25,1855.21,29420.00,754.36
5498 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,5498,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JERRY Q. CHUA,Pulmonology,8,41,155991.14,19498.89,5.00,0.63,2.80,14.00,7313.56,102389.84,12798.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1.00,3.38,27.00,1985.23,53601.30,6700.16,0.00,0.00
90011321 - THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,90011321,THE MEDICAL CITY SATELLITE CLINICS-VICTORY MALL,JOEL DEL ROSARIO SABANGAN,Cardiology,89,564,1731196.72,19451.65,73.00,0.82,3.07,224.00,4853.87,1087267.54,12216.49,5.00,0.06,1.00,5.00,66881.04,334405.18,3757.36,88.00,0.99,3.81,335.00,923.95,309524.00,3477.80,93580.00,1051.46
90004925 - DILIMAN DOCTORS HOSPITAL INC.,90004925,DILIMAN DOCTORS HOSPITAL INC.,ROLAND LIMJOCO DELOS REYES,Cardiology,21,84,407670.97,19412.90,16.00,0.76,2.13,34.00,6823.90,232012.76,11048.23,2.00,0.10,1.00,2.00,65294.88,130589.75,6218.56,19.00,0.90,2.53,48.00,938.93,45068.46,2146.12,48140.00,2292.38
90002218 - OUR LADY OF LOURDES HOSPITAL-MANILA,90002218,OUR LADY OF LOURDES HOSPITAL-MANILA,JILL P. BUENSUCESO,Cardiology,39,188,756803.34,19405.21,30.00,0.77,2.57,77.00,5314.54,409219.80,10492.82,4.00,0.10,1.00,4.00,60354.07,241416.26,6190.16,38.00,0.97,2.82,107.00,992.22,106167.28,2722.24,70330.00,1803.33
90012627 - THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,90012627,THE MEDICAL CITY SATELLITE CLINICS-SM FAIRVIEW CLINIC,JENELLE Y. OCZON,Internal Medicine,27,152,523787.97,19399.55,22.00,0.82,3.18,70.00,6364.57,445519.92,16500.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,1.00,3.04,82.00,954.49,78268.05,2898.82,45240.00,1675.56
90019530 - THE MEDICAL CITY,90019530,THE MEDICAL CITY,MARIA PATRICIA FELICIDAD PUNO RAMOS,Endocrinology,12,66,231739.65,19311.64,7.00,0.58,4.86,34.00,3080.68,104743.28,8728.61,1.00,0.08,1.00,1.00,85134.20,85134.20,7094.52,12.00,1.00,2.58,31.00,1350.39,41862.17,3488.51,7735.00,644.58
32161 - MARIKINA VALLEY MEDICAL CENTER INC.,32161,MARIKINA VALLEY MEDICAL CENTER INC.,JOEL G. JULIAN,Cardiology,12,33,231642.54,19303.55,12.00,1.00,1.75,21.00,9392.65,197245.55,16437.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.42,2.40,12.00,2866.42,34396.99,2866.42,0.00,0.00
"90010206 - MEDICAL CENTER MANILA, INC.",90010206,"MEDICAL CENTER MANILA, INC.",IAN HERBERT IGMEN ESTANISLAO,Cardiology,17,67,327799.80,19282.34,14.00,0.82,2.57,36.00,8455.49,304397.80,17905.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.88,2.07,31.00,754.90,23402.00,1376.59,16750.00,985.29
